1957,88
1958,84
1959,98
1960,132
1961,147
1962,143
1963,139
1964,123
1965,160
1966,190
1967,182
1968,206
1969,254
1970,292
1971,249
1972,319
1973,368
1974,324
1975,415
1976,438
1977,506
1978,606
1979,695
1980,966
1981,927
1982,1160
1983,1548
1984,1906
1985,2251
1986,2886
1987,3498
1988,4415
1989,4841
1990,5796
1991,5976
1992,6354
1993,6350
1994,6935
1995,7144
1996,7219
1997,6531
1998,5819
1999,4586
2000,2441
2001,1499
2002,965
2003,643
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
